22.4,10,35,45,10,0.4,0.9
20,20,36,45,50,0.5,0.83
20,0,36,45,50,0.25,0.79
20,0,36,45,50,0.5,0.67
22,0,40,33,8,0.35,1.45
24,0,40,33,8,0.3,1.58
20,0,24.5,20,8,0.35,1.37
18,5,30,20,8,0.3,2.05
27,40,35,43,420,0.25,1.15
27,50,40,42,407,0.25,1.44
27,35,35,42,359,0.25,1.27
27,37.5,35,37.8,320,0.25,1.24
27,32,33,42.6,301,0.25,1.16
27,32,33,42.4,289,0.25,1.3
27.3,14,31,41,110,0.25,1.249
27.3,31.5,29.7,41,135,0.25,1.245
27.3,16.8,28,50,90.5,0.25,1.252
27.3,26,31,50,92,0.25,1.246
27.3,10,39,41,511,0.25,1.434
27.3,10,39,40,470,0.25,1.418
25,46,35,47,443,0.25,1.28
25,46,35,44,435,0.25,1.37
25,46,35,46,432,0.25,1.23
26,150,45,30,200,0.25,1.2
18.5,25,0,30,6,0.25,1.09
18.5,12,0,30,6,0.25,0.78
22.4,10,35,30,10,0.25,2
21.4,10,30.34,30,20,0.25,1.7
22,20,36,45,50,0.25,1.02
22,0,36,45,50,0.25,0.89
12,0,30,35,4,0.25,1.46
12,0,30,45,8,0.25,0.8
12,0,30,35,4,0.25,1.44
31.3,68,37,49,200.5,0.25,1.2
20,20,36,45,50,0.25,0.96
27,40,35,47.1,292,0.25,1.15
25,46,35,50,284,0.25,1.34
31.3,68,37,46,366,0.25,1.2
25,55,36,44.5,299,0.25,1.55
27.3,10,39,40,480,0.25,1.45
25,46,35,46,393,0.25,1.31
25,48,40,49,330,0.25,1.49
31.3,68.6,37,47,305,0.25,1.2
25,55,36,45.5,299,0.25,1.52
31.3,68,37,47,213,0.25,1.2
20.52,14.06,26.23,25.38,9.86,0.37,1.76
18.45,0,18.58,17.82,7.55,0.43,0.99
19.32,0,19.44,20.2,68.48,0.45,1.02
18.12,10.57,30.84,32.45,21.77,0.11,1.18
23.2,9.5,39.69,39.34,10.49,0.44,0.85
24.45,11.34,39.31,44.03,9.79,0.43,0.86
19.36,19.8,38.49,43.41,48.88,0.43,0.79
17.29,0,37.22,44.55,42.3,0.28,0.9
22.88,0,31.78,36.86,45.45,0.54,0.71
21.78,0,34.2,35,7.13,0.32,1.6
26.93,0,41.13,31.68,8.16,0.3,1.71
17.86,0,24.38,22.44,8.23,0.39,1.29
18.71,4.75,28.12,18.81,8.62,0.31,2.13
28.51,42.34,32.2,43.25,543.6,0.25,1.25
24.86,45.6,39.8,36.31,386.08,0.21,1.63
28.07,35,38.93,44.54,361.51,0.24,1.26
26.2,44.14,32.26,37.71,359.04,0.21,1.22
30,27.38,34.57,43.46,319.21,0.27,1.02
26.78,26.79,30.66,43.66,249.7,0.25,1.26
26.83,13.98,35.46,43.5,96.14,0.23,1.42
30.95,30.79,27.08,39.77,131.22,0.22,1.29
30.33,15.62,24.21,52.5,85.76,0.25,1.19
31.25,25.73,27.97,48.23,91.55,0.21,1.11
24.57,9.98,41.31,35.46,526.13,0.27,1.55
28.01,9.5,37.36,42.86,538.1,0.23,1.55
27.83,45.01,35.95,47.83,456.38,0.25,1.28
28.35,44.97,33.49,43.16,413.42,0.25,1.13
29.7,38.09,32.92,45.48,410.4,0.26,1.36
26.18,159,44.93,31.5,172.98,0.1,1.19
17.55,22.08,0,34.99,5.88,0.35,1.07
19.43,11.16,0,32.34,5.35,0.36,0.73
22.85,8.46,38.12,25.67,11.34,0.56,2.2
21.73,9.21,30.6,33.06,19.78,0.29,1.8
21.51,17.82,31.75,47.03,49.92,0.52,0.93
26.62,0,31.78,42.72,51.48,0.4,1.04
11.94,0,31.75,32.49,3.92,0.11,1.46
12.34,0,25.92,46.82,8.08,0.43,0.72
11.82,0,33.7,31.26,3.91,0.42,1.34
33.16,68.54,41.11,51.98,188.15,0.44,1.16
20.97,21.8,31.81,38.09,57.75,0.24,1.02
